,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
34,34,emp_length:10,0.12533660888009124,1.0349826902136727e-11,emp_length,9.663994064479912,10.0,0.3360059355200882,10.0
35,35,mths_since_issue_d:<38,1.091989172630473,7.307195101901844e-189,mths_since_issue_d,84.19708317522127,84.0,-0.19708317522126606,84.0
36,36,mths_since_issue_d:38-39,0.8906323273687543,1.1583097357464451e-158,mths_since_issue_d,68.67160043846326,69.0,0.32839956153674166,69.0
37,37,mths_since_issue_d:40-41,0.7889185448368049,1.874188238455081e-131,mths_since_issue_d,60.82902834841291,61.0,0.17097165158708805,61.0
38,38,mths_since_issue_d:42-48,0.5871563328930932,4.827481694868825e-94,mths_since_issue_d,45.27229008907675,45.0,-0.2722900890767477,45.0
39,39,mths_since_issue_d:49-52,0.4250499205712417,8.032615662781812e-44,mths_since_issue_d,32.77318531441942,33.0,0.22681468558057816,33.0
40,40,mths_since_issue_d:53-64,0.17865598031677657,5.217625706551225e-10,mths_since_issue_d,13.775147969871513,14.0,0.22485203012848665,14.0
41,41,mths_since_issue_d:65-84,-0.060626819285843805,0.03499543741986589,mths_since_issue_d,-4.674589706565422,-5.0,-0.3254102934345777,-5.0
42,42,int_rate:<9.548,0.8674125180210207,3.709292684070737e-30,int_rate,66.88125281600978,67.0,0.118747183990223,67.0
43,43,int_rate:9.548-12.025,0.5404332096323359,7.714577683859908e-34,int_rate,41.66973541729765,42.0,0.33026458270234826,42.0
44,44,int_rate:12.025-15.74,0.2912249388758423,1.984919594497007e-15,int_rate,22.45470103166091,22.0,-0.45470103166091036,22.0
45,45,int_rate:15.74-20.281,0.10311507271712629,0.0003683881168230435,int_rate,7.950617617635337,8.0,0.04938238236466308,8.0
46,46,mths_since_earliest_cr_line:141-164,0.05644512962979101,0.02316609911338009,mths_since_earliest_cr_line,4.352163366993294,4.0,-0.3521633669932944,4.0
47,47,mths_since_earliest_cr_line:165-247,0.03817856786895267,0.0568503191698747,mths_since_earliest_cr_line,2.9437325341144454,3.0,0.056267465885554646,3.0
48,48,mths_since_earliest_cr_line:248-270,0.08062943462472308,0.002091505232377601,mths_since_earliest_cr_line,6.216877770972349,6.0,-0.21687777097234928,6.0
49,49,mths_since_earliest_cr_line:271-352,0.12284407125911702,1.497000660007131e-07,mths_since_earliest_cr_line,9.471808644834224,9.0,-0.47180864483422447,9.0
50,50,mths_since_earliest_cr_line:>352,0.13143272155388425,6.940027329109782e-07,mths_since_earliest_cr_line,10.134030690030375,10.0,-0.13403069003037515,10.0
51,51,inq_last_6mths:0,0.6944673244703676,8.171734524572065e-18,inq_last_6mths,53.54643117939759,54.0,0.4535688206024133,54.0
52,52,inq_last_6mths:1-2,0.5473496760254491,1.1829334927098758e-11,inq_last_6mths,42.203024858965634,42.0,-0.20302485896563383,42.0
53,53,inq_last_6mths:3-6,0.33663553413206915,3.563450857887079e-05,inq_last_6mths,25.956054123481984,26.0,0.04394587651801629,26.0
54,54,acc_now_delinq:>=1,0.23544130334149663,0.023268450798019404,acc_now_delinq,18.153541717427558,18.0,-0.15354171742755796,18.0
55,55,annual_inc:20K-30K,-0.06893655842187732,0.099478176262886,annual_inc,-5.3153064963808525,-5.0,0.3153064963808525,-5.0
